PERMNO,Date,Ticker,PRC,RET
-1,2006-01-31,ABB,83.2806,
-1,2006-02-28,ABB,83.8502,0.00684
-1,2006-03-31,ABB,96.4137,0.149833
-1,2006-04-30,ABB,101.8847,0.056745
-1,2006-05-31,ABB,76.5255,-0.248901
-1,2006-06-30,ABB,83.5159,0.091347
-1,2006-07-31,ABB,80.9807,-0.030356
-1,2006-08-31,ABB,93.1781,0.150621
-1,2006-09-30,ABB,97.556,0.046984
-1,2006-10-31,ABB,119.1168,0.221009
-1,2006-11-30,ABB,116.7634,-0.019757
-1,2006-12-31,ABB,124.1991,0.063682
-1,2007-01-31,ABB,120.8509,-0.026958
-1,2007-02-28,ABB,120.9995,0.00123
-1,2007-03-31,ABB,118.4926,-0.020718
-1,2007-04-30,ABB,136.4332,0.151407
-1,2007-05-31,ABB,153.6762,0.126384
-1,2007-06-30,ABB,925.223,5.0206
-1,2007-07-31,ABB,970.1207,0.048526
-1,2007-08-31,ABB,956.0425,-0.014512
-1,2007-09-30,ABB,1096.1895,0.146591
-1,2007-10-31,ABB,1332.1772,0.21528
-1,2007-11-30,ABB,1315.8585,-0.01225
-1,2007-12-31,ABB,1278.655,-0.028273
-1,2008-01-31,ABB,946.9108,-0.259448
-1,2008-02-29,ABB,976.8425,0.03161
-1,2008-03-31,ABB,997.6851,0.021337
-1,2008-04-30,ABB,964.7516,-0.03301
-1,2008-05-31,ABB,865.4862,-0.102892
-1,2008-06-30,ABB,681.1036,-0.213039
-1,2008-07-31,ABB,653.7272,-0.040194
-1,2008-08-31,ABB,742.4247,0.13568
-1,2008-09-30,ABB,669.1528,-0.098693
-1,2008-10-31,ABB,461.1604,-0.310829
-1,2008-11-30,ABB,371.3608,-0.194725
-1,2008-12-31,ABB,384.6252,0.035718
-1,2009-01-31,ABB,411.1964,0.069083
-1,2009-02-28,ABB,311.226,-0.243121
-1,2009-03-31,ABB,361.6562,0.162037
-1,2009-04-30,ABB,409.8403,0.133232
-1,2009-05-31,ABB,551.7228,0.34619
-1,2009-06-30,ABB,663.1507,0.201964
-1,2009-07-31,ABB,596.8698,-0.099948
-1,2009-08-31,ABB,646.3674,0.082929
-1,2009-09-30,ABB,668.305,0.03394
-1,2009-10-31,ABB,655.611,-0.018994
-1,2009-11-30,ABB,631.3305,-0.037035
-1,2009-12-31,ABB,653.5237,0.035153
-1,2010-01-31,ABB,690.924,0.057229
-1,2010-02-28,ABB,676.9523,-0.020222
-1,2010-03-31,ABB,707.111,0.044551
-1,2010-04-30,ABB,675.0777,-0.045302
-1,2010-05-31,ABB,731.8172,0.084049
-1,2010-06-30,ABB,737.1893,0.007341
-1,2010-07-31,ABB,693.2346,-0.059625
-1,2010-08-31,ABB,665.7684,-0.03962
-1,2010-09-30,ABB,787.5939,0.182985
-1,2010-10-31,ABB,702.4186,-0.108146
-1,2010-11-30,ABB,654.5768,-0.06811
-1,2010-12-31,ABB,679.9073,0.038698
-1,2011-01-31,ABB,625.6582,-0.079789
-1,2011-02-28,ABB,569.5297,-0.089711
