company,sector
ABB,Capital Goods
ACC,Cement
ADANIENT,Diversified
ADANIPORTS,Ports & Logistics
AMBUJACEM,Cement
APOLLOHOSP,Pharma & Healthcare
ASIANPAINT,Paints
AUROPHARMA,Pharma & Healthcare
AXISBANK,Banks
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BANKBARODA,Banks
BEL,Capital Goods
BHARTIARTL,Telecom
BHEL,Capital Goods
BOSCHLTD,Automobile
BPCL,Oil & Gas
BRITANNIA,FMCG
CAIRN,Oil & Gas
CIPLA,Pharma & Healthcare
COALINDIA,Metals & Mining
DABUR,FMCG
DIVISLAB,Pharma & Healthcare
DLF,Real Estate
DRREDDY,Pharma & Healthcare
EICHERMOT,Automobile
ETERNAL,Diversified
GAIL,Oil & Gas
GLAXO,Pharma & Healthcare
GRASIM,Cement
HCLTECH,IT
HDFCBANK,Banks
HDFCLIFE,Insurance
HEROMOTOCO,Automobile
HINDALCO,Metals & Mining
HINDPETRO,Oil & Gas
HINDUNILVR,FMCG
IBULHSGFIN,Financial Services
ICICIBANK,Banks
IDEA,Telecom
IDFCFIRSTB,Banks
INDUSINDBK,Banks
INFRATEL,Telecom
INFY,IT
IOC,Oil & Gas
IPCL,Oil & Gas
ITC,FMCG
JETAIRWAYS,Aviation
JINDALSTEL,Metals & Mining
JIOFIN,Financial Services
JPASSOCIAT,Real Estate
JSWSTEEL,Metals & Mining
KOTAKBANK,Banks
LT,Capital Goods
LTIM,IT
LUPIN,Pharma & Healthcare
M&M,Automobile
MARUTI,Automobile
MTNL,Telecom
NATIONALUM,Metals & Mining
NESTLEIND,FMCG
NMDC,Metals & Mining
NTPC,Power & Utilities
ONGC,Oil & Gas
ORIENTBANK,Banks
PNB,Banks
POWERGRID,Power & Utilities
RANB,Pharma & Healthcare
RCOM,Telecom
RELCAPITAL,Financial Services
RELIANCE,Oil & Gas
RELINFRA,Power & Utilities
RPL,Oil & Gas
RPOWER,Power & Utilities
SAIL,Metals & Mining
SATYAMCOMP,IT
SBILIFE,Insurance
SBIN,Banks
SHREECEM,Cement
SHRIRAMFIN,Financial Services
SIEMENS,Capital Goods
STLTECH,IT
SUNPHARMA,Pharma & Healthcare
SUZLON,Power & Utilities
TATACOMM,Telecom
TATACONSUM,FMCG
TATAMOTORS,Automobile
TATAPOWER,Power & Utilities
TATASTEEL,Metals & Mining
TCS,IT
TECHM,IT
TITAN,Consumer Discretionary
TRENT,Consumer Discretionary
ULTRACEMCO,Cement
UNITDSPR,Consumer Discretionary
UNITECH,Real Estate
UPL,Agrochemicals
VEDL,Metals & Mining
WIPRO,IT
YESBANK,Banks
ZEEL,Media & Entertainment
